,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Certificate,Votes,Gross,Description,Director,Stars
536,Nueve reinas,(2000),114 min,7.9,80        ,R,"51,644",$1.22M,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",Fabián Bielinsky,"['Ricardo Darín', 'Gastón Pauls', 'Graciela Tenenbaum', 'María Mercedes Villagra']"
537,Children of Men,(2006),109 min,7.9,84        ,A,"483,024",$35.55M,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Alfonso Cuarón,"['Julianne Moore', 'Clive Owen', 'Chiwetel Ejiofor', 'Michael Caine']"
538,Todo sobre mi madre,(1999),101 min,7.9,87        ,R,"93,575",$8.26M,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Pedro Almodóvar,"['Cecilia Roth', 'Marisa Paredes', 'Candela Peña', 'Antonia San Juan']"
539,Almost Famous,(2000),122 min,7.9,90        ,A,"266,846",$32.53M,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Cameron Crowe,"['Billy Crudup', 'Patrick Fugit', 'Kate Hudson', 'Frances McDormand']"
540,Mulholland Dr.,(2001),147 min,7.9,85        ,UA,"340,522",$7.22M,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",David Lynch,"['Naomi Watts', 'Laura Harring', 'Justin Theroux', 'Jeanne Bates']"
541,Shrek,(2001),90 min,7.9,84        ,U,"643,503",$267.67M,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","Directors:Andrew Adamson, Vicky Jenson","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'John Lithgow']"
542,Toy Story 2,(1999),92 min,7.9,88        ,U,"552,806",$245.85M,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Directors:John Lasseter, Ash Brannon, Lee Unkrich","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Kelsey Grammer']"
543,Knockin' on Heaven's Door,(1997),87 min,7.9,****,****,"29,216",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",Thomas Jahn,"['Til Schweiger', 'Jan Josef Liefers', 'Thierry van Werveke', 'Moritz Bleibtreu']"
544,Boogie Nights,(1997),155 min,7.9,85        ,18,"252,548",$26.40M,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Paul Thomas Anderson,"['Mark Wahlberg', 'Julianne Moore', 'Burt Reynolds', 'Luis Guzmán']"
545,Mimi wo sumaseba,(1995),111 min,7.9,75        ,U,"57,884",%^%^%^,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",Yoshifumi Kondô,"['Yoko Honna', 'Issey Takahashi', 'Takashi Tachibana', 'Shigeru Muroi']"
546,Once Were Warriors,(1994),102 min,7.9,77        ,A,"33,012",$2.20M,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Lee Tamahori,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell', 'Julian Arahanga']"
547,True Romance,(1993),119 min,7.9,59        ,A,"218,653",$12.28M,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",Tony Scott,"['Christian Slater', 'Patricia Arquette', 'Dennis Hopper', 'Val Kilmer']"
548,Trois couleurs: Bleu,(1993),94 min,7.9,85        ,U,"97,377",$1.32M,A woman struggles to find a way to live her life after the death of her husband and child.,Krzysztof Kieslowski,"['Juliette Binoche', 'Zbigniew Zamachowski', 'Julie Delpy', 'Benoît Régent']"
549,Jûbê ninpûchô,(1993),94 min,7.9,****,A,"36,251",%^%^%^,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,Yoshiaki Kawajiri,"['Kôichi Yamadera', 'Emi Shinohara', 'Takeshi Aono', 'Osamu Saka']"
550,Carlito's Way,(1993),144 min,7.9,65        ,A,"210,213",$36.95M,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Brian De Palma,"['Al Pacino', 'Sean Penn', 'Penelope Ann Miller', 'John Leguizamo']"
551,Edward Scissorhands,(1990),105 min,7.9,74        ,U,"466,526",$56.36M,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",Tim Burton,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Anthony Michael Hall']"
552,My Left Foot: The Story of Christy Brown,(1989),103 min,7.9,97        ,U,"71,836",$14.74M,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",Jim Sheridan,"['Daniel Day-Lewis', 'Brenda Fricker', 'Alison Whelan', 'Kirsten Sheridan']"
553,Majo no takkyûbin,(1989),103 min,7.9,83        ,U,"134,913",%^%^%^,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Hayao Miyazaki,"['Kirsten Dunst', 'Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']"
554,Crimes and Misdemeanors,(1989),104 min,7.9,77        ,****,"56,782",$18.25M,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,Woody Allen,"['Martin Landau', 'Woody Allen', 'Bill Bernstein', 'Claire Bloom']"
555,The Untouchables,(1987),119 min,7.9,79        ,A,"297,164",$76.27M,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",Brian De Palma,"['Kevin Costner', 'Sean Connery', 'Robert De Niro', 'Charles Martin Smith']"
556,Hannah and Her Sisters,(1986),107 min,7.9,90        ,****,"69,878",$40.08M,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",Woody Allen,"['Mia Farrow', 'Dianne Wiest', 'Michael Caine', 'Barbara Hershey']"
557,Brazil,(1985),132 min,7.9,84        ,U,"195,880",$9.93M,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,Terry Gilliam,"['Jonathan Pryce', 'Kim Greist', 'Robert De Niro', 'Katherine Helmond']"
558,This Is Spinal Tap,(1984),82 min,7.9,92        ,****,"135,606",$4.74M,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",Rob Reiner,"['Rob Reiner', 'Michael McKean', 'Christopher Guest', 'Kimberly Stringer']"
559,A Christmas Story,(1983),93 min,7.9,77        ,U,"137,942",$20.61M,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",Bob Clark,"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin', 'Scott Schwartz']"
560,The Blues Brothers,(1980),133 min,7.9,60        ,U,"191,710",$57.23M,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago.",John Landis,"['John Belushi', 'Dan Aykroyd', 'Cab Calloway', 'John Candy']"
561,Manhattan,(1979),96 min,7.9,83        ,****,"137,123",$45.70M,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Mariel Hemingway', 'Michael Murphy']"
562,All That Jazz,(1979),123 min,7.9,72        ,A,"30,130",$37.82M,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",Bob Fosse,"['Roy Scheider', 'Jessica Lange', 'Ann Reinking', 'Leland Palmer']"
563,Dawn of the Dead,(1978),127 min,7.9,71        ,A,"116,992",$5.10M,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",George A. Romero,"['David Emge', 'Ken Foree', 'Scott H. Reiniger', 'Gaylen Ross']"
564,La montaña sagrada,(1973),114 min,7.9,76        ,A,"40,603",$0.06M,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'Horacio Salinas', 'Zamira Saunders', 'Juan Ferrara']"
565,Amarcord,(1973),123 min,7.9,****,****,"42,113",$0.58M,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,Federico Fellini,"['Magali Noël', 'Bruno Zanin', 'Pupella Maggio', 'Armando Brancia']"
566,Le charme discret de la bourgeoisie,(1972),102 min,7.9,93        ,****,"41,392",$0.20M,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Luis Buñuel,"['Fernando Rey', 'Delphine Seyrig', 'Paul Frankeur', 'Bulle Ogier']"
567,"Aguirre, der Zorn Gottes",(1972),95 min,7.9,****,****,"55,248",%^%^%^,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",Werner Herzog,"['Klaus Kinski', 'Ruy Guerra', 'Helena Rojo', 'Del Negro']"
568,Harold and Maude,(1971),91 min,7.9,62        ,****,"75,370",%^%^%^,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",Hal Ashby,"['Ruth Gordon', 'Bud Cort', 'Vivian Pickles', 'Cyril Cusack']"
569,Patton,(1970),172 min,7.9,91        ,U,"99,266",$61.70M,The World War II phase of the career of controversial American general George S. Patton.,Franklin J. Schaffner,"['George C. Scott', 'Karl Malden', 'Stephen Young', 'Michael Strong']"
570,The Wild Bunch,(1969),145 min,7.9,97        ,A,"82,101",$12.06M,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",Sam Peckinpah,"['William Holden', 'Ernest Borgnine', 'Robert Ryan', ""Edmond O'Brien""]"
571,Night of the Living Dead,(1968),96 min,7.9,89        ,A,"123,689",$0.09M,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,George A. Romero,"['Duane Jones', ""Judith O'Dea"", 'Karl Hardman', 'Marilyn Eastman']"
572,The Lion in Winter,(1968),134 min,7.9,****,U,"30,526",$22.28M,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.",Anthony Harvey,"[""Peter O'Toole"", 'Katharine Hepburn', 'Anthony Hopkins', 'John Castle']"
573,In the Heat of the Night,(1967),110 min,7.9,75        ,U,"71,406",$24.38M,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.",Norman Jewison,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Lee Grant']"
574,In Cold Blood,(1967),134 min,7.9,89        ,****,"25,689",%^%^%^,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.",Richard Brooks,"['Robert Blake', 'Scott Wilson', 'John Forsythe', 'Paul Stewart']"
575,Charade,(1963),113 min,7.9,83        ,U,"73,734",$13.47M,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,Stanley Donen,"['Cary Grant', 'Audrey Hepburn', 'Walter Matthau', 'James Coburn']"
576,The Manchurian Candidate,(1962),126 min,7.9,94        ,A,"73,876",%^%^%^,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.,John Frankenheimer,"['Frank Sinatra', 'Laurence Harvey', 'Janet Leigh', 'Angela Lansbury']"
577,Spartacus,(1960),197 min,7.9,87        ,A,"130,684",$30.00M,"The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising.",Stanley Kubrick,"['Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton']"
578,L'avventura,(1960),144 min,7.9,****,U,"28,452",%^%^%^,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",Michelangelo Antonioni,"['Gabriele Ferzetti', 'Monica Vitti', 'Lea Massari', 'Dominique Blanchar']"
579,Hiroshima mon amour,(1959),90 min,7.9,****,****,"30,497",$0.09M,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,Alain Resnais,"['Emmanuelle Riva', 'Eiji Okada', 'Stella Dassas', 'Pierre Barbaud']"
580,The Ten Commandments,(1956),220 min,7.9,****,U,"67,651",$93.74M,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.",Cecil B. DeMille,"['Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']"
581,The Searchers,(1956),119 min,7.9,94        ,U,"85,882",%^%^%^,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.,John Ford,"['John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond']"
582,East of Eden,(1955),118 min,7.9,72        ,U,"43,931",%^%^%^,"Two brothers in 1910s California struggle to maintain their strict, Bible-toting father's favor as an old secret about their long-absent mother comes to light.",Elia Kazan,"['James Dean', 'Raymond Massey', 'Julie Harris', 'Burl Ives']"
583,The Big Heat,(1953),89 min,7.9,****,****,"25,598",%^%^%^,Tough cop Dave Bannion takes on a politically powerful crime syndicate.,Fritz Lang,"['Glenn Ford', 'Gloria Grahame', 'Jocelyn Brando', 'Alexander Scourby']"
584,Harvey,(1950),104 min,7.9,****,****,"54,375",%^%^%^,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",Henry Koster,"['James Stewart', 'Wallace Ford', 'William H. Lynn', 'Victoria Horne']"
585,The Asphalt Jungle,(1950),112 min,7.9,****,****,"25,706",%^%^%^,"A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.",John Huston,"['Sterling Hayden', 'Louis Calhern', 'Jean Hagen', 'James Whitmore']"
586,Miracle on 34th Street,(1947),96 min,7.9,88        ,****,"44,578",$2.65M,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.",George Seaton,"['Edmund Gwenn', ""Maureen O'Hara"", 'John Payne', 'Gene Lockhart']"
587,The Big Sleep,(1946),114 min,7.9,****,****,"83,241",$6.54M,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",Howard Hawks,"['Humphrey Bogart', 'Lauren Bacall', 'John Ridgely', 'Martha Vickers']"
588,La belle et la bête,(1946),96 min,7.9,92        ,****,"25,721",$0.30M,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.","Directors:Jean Cocteau, René Clément","['Jean Marais', 'Josette Day', 'Mila Parély', 'Nane Germon']"
589,The Lost Weekend,(1945),101 min,7.9,****,****,"35,673",$9.46M,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,Billy Wilder,"['Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva']"
590,Sullivan's Travels,(1941),90 min,7.9,****,****,"25,565",%^%^%^,Hollywood director John L Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.,Preston Sturges,"['Joel McCrea', 'Veronica Lake', 'Robert Warwick', 'William Demarest']"
591,The Philadelphia Story,(1940),112 min,7.9,96        ,****,"66,777",%^%^%^,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",George Cukor,"['Cary Grant', 'Katharine Hepburn', 'James Stewart', 'Ruth Hussey']"
592,His Girl Friday,(1940),92 min,7.9,****,****,"56,596",$0.30M,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Howard Hawks,"['Cary Grant', 'Rosalind Russell', 'Ralph Bellamy', 'Gene Lockhart']"
593,Stagecoach,(1939),96 min,7.9,93        ,****,"46,750",%^%^%^,A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,John Ford,"['John Wayne', 'Claire Trevor', 'Andy Devine', 'John Carradine']"
594,Bringing Up Baby,(1938),102 min,7.9,91        ,****,"59,404",%^%^%^,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Howard Hawks,"['Katharine Hepburn', 'Cary Grant', 'Charles Ruggles', 'Walter Catlett']"
595,The Adventures of Robin Hood,(1938),102 min,7.9,97        ,PG,"49,495",$3.98M,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.","Directors:Michael Curtiz, William Keighley","['Errol Flynn', 'Olivia de Havilland', 'Basil Rathbone', 'Claude Rains']"
596,A Night at the Opera,(1935),96 min,7.9,****,****,"32,018",$2.54M,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.,"Directors:Sam Wood, Edmund Goulding","['Groucho Marx', 'Chico Marx', 'Harpo Marx', 'Kitty Carlisle']"
597,King Kong,(1933),100 min,7.9,90        ,****,"83,092",$10.00M,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,"Directors:Merian C. Cooper, Ernest B. Schoedsack","['Fay Wray', 'Robert Armstrong', 'Bruce Cabot', 'Frank Reicher']"
598,Freaks,(1932),64 min,7.9,80        ,****,"44,726",%^%^%^,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",Tod Browning,"['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates']"
599,Nosferatu,(1922),94 min,7.9,****,****,"93,284",%^%^%^,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,F.W. Murnau,"['Max Schreck', 'Alexander Granach', 'Gustav von Wangenheim', 'Greta Schröder']"
600,The Gentlemen,(2019),113 min,7.8,51        ,A,"288,102",%^%^%^,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']"
601,Badla,(2019),118 min,7.8,****,UA,"25,974",$1.86M,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,Sujoy Ghosh,"['Amitabh Bachchan', 'Taapsee Pannu', 'Amrita Singh', 'Antonio Aakeel']"
602,Raazi,(2018),138 min,7.8,****,UA,"28,457",%^%^%^,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,Meghna Gulzar,"['Alia Bhatt', 'Vicky Kaushal', 'Rajit Kapoor', 'Shishir Sharma']"
603,Sound of Metal,(2019),120 min,7.8,82        ,18,"109,606",%^%^%^,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']"
604,Dunkirk,(2017),106 min,7.8,94        ,UA,"605,452",$188.37M,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Christopher Nolan,"['Fionn Whitehead', 'Barry Keoghan', 'Mark Rylance', 'Tom Hardy']"
605,Perfetti sconosciuti,(2016),96 min,7.8,****,****,"61,547",%^%^%^,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.",Paolo Genovese,"['Giuseppe Battiston', 'Anna Foglietta', 'Marco Giallini', 'Edoardo Leo']"
606,Hidden Figures,(2016),127 min,7.8,74        ,UA,"214,579",$169.61M,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,"['Taraji P. Henson', 'Octavia Spencer', 'Janelle Monáe', 'Kevin Costner']"
607,Paddington 2,(2017),103 min,7.8,88        ,U,"68,922",$40.44M,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.",Paul King,"['Ben Whishaw', 'Hugh Grant', 'Hugh Bonneville', 'Sally Hawkins']"
608,Udta Punjab,(2016),148 min,7.8,****,A,"29,105",%^%^%^,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Abhishek Chaubey,"['Shahid Kapoor', 'Alia Bhatt', 'Kareena Kapoor', 'Diljit Dosanjh']"
609,Kubo and the Two Strings,(2016),101 min,7.8,84        ,U,"124,365",$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,Travis Knight,"['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']"
610,Manchester by the Sea,(2016),137 min,7.8,96        ,UA,"264,841",$47.70M,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,Kenneth Lonergan,"['Casey Affleck', 'Michelle Williams', 'Kyle Chandler', 'Lucas Hedges']"
611,Under sandet,(2015),100 min,7.8,75        ,R,"39,094",$0.44M,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",Martin Zandvliet,"['Roland Møller', 'Louis Hofmann', 'Joel Basman', 'Mikkel Boe Følsgaard']"
612,Rogue One,(2016),133 min,7.8,65        ,UA,"586,459",$532.18M,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.",Gareth Edwards,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen']"
613,Captain America: Civil War,(2016),147 min,7.8,75        ,UA,"719,493",$408.08M,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,"Directors:Anthony Russo, Joe Russo","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson', 'Sebastian Stan']"
614,The Hateful Eight,(2015),168 min,7.8,68        ,A,"558,443",$54.12M,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins']"
615,Little Women,(2019),135 min,7.8,91        ,U,"172,450",$108.10M,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",Greta Gerwig,"['Saoirse Ronan', 'Emma Watson', 'Florence Pugh', 'Eliza Scanlen']"
616,Loving Vincent,(2017),94 min,7.8,62        ,UA,"54,972",$6.74M,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.","Directors:Dorota Kobiela, Hugh Welchman","['Douglas Booth', 'Jerome Flynn', 'Robert Gulaczyk', 'Helen McCrory']"
617,Pride,(I) (2014),119 min,7.8,79        ,R,"54,688",%^%^%^,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,Matthew Warchus,"['Bill Nighy', 'Imelda Staunton', 'Dominic West', 'Paddy Considine']"
618,Nightcrawler,(2014),117 min,7.8,76        ,A,"502,897",$32.38M,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",Dan Gilroy,"['Jake Gyllenhaal', 'Rene Russo', 'Bill Paxton', 'Riz Ahmed']"
619,Star Wars: Episode VII - The Force Awakens,(2015),138 min,7.8,80        ,U,"891,009",$936.66M,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",J.J. Abrams,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson']"
620,La grande bellezza,(2013),141 min,7.8,86        ,****,"85,410",$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",Paolo Sorrentino,"['Toni Servillo', 'Carlo Verdone', 'Sabrina Ferilli', 'Carlo Buccirosso']"
621,The Lunchbox,(2013),104 min,7.8,76        ,U,"53,830",$4.23M,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,Ritesh Batra,"['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui', 'Lillete Dubey']"
622,Vicky Donor,(2012),126 min,7.8,****,UA,"41,854",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",Shoojit Sircar,"['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia']"
623,Big Hero 6,(2014),102 min,7.8,74        ,U,"433,936",$222.53M,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.","Directors:Don Hall, Chris Williams","['Ryan Potter', 'Scott Adsit', 'Jamie Chung', 'T.J. Miller']"
624,Kai po che!,(2013),130 min,7.8,40        ,U,"35,635",$1.12M,Three friends growing up in India at the turn of the millennium set out to open a training academy to produce the country's next cricket stars.,Abhishek Kapoor,"['Amit Sadh', 'Sushant Singh Rajput', 'Rajkummar Rao', 'Amrita Puri']"
625,About Time,(I) (2013),123 min,7.8,55        ,16,"326,511",$15.32M,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",Richard Curtis,"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy', 'Lydia Wilson']"
626,English Vinglish,(2012),134 min,7.8,****,U,"35,258",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",Gauri Shinde,"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand']"
627,Kaze tachinu,(2013),126 min,7.8,83        ,Not Rated,"80,088",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",Hayao Miyazaki,"['Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura']"
628,La migliore offerta,(2013),131 min,7.8,49        ,R,"114,373",$0.09M,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,Giuseppe Tornatore,"['Geoffrey Rush', 'Jim Sturgess', 'Sylvia Hoeks', 'Donald Sutherland']"
629,Moonrise Kingdom,(2012),94 min,7.8,84        ,A,"334,911",$45.51M,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",Wes Anderson,"['Jared Gilman', 'Kara Hayward', 'Bruce Willis', 'Bill Murray']"
