,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Certificate,Votes,Gross,Description,Director,Stars
274,Dilwale Dulhania Le Jayenge,(1995),189 min,8.1,****,U,"66,919",%^%^%^,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Aditya Chopra,"['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal']"
275,Before Sunrise,(1995),101 min,8.1,77        ,16,"289,847",$5.54M,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert', 'Hanno Pöschl']"
276,Trois couleurs: Rouge,(1994),99 min,8.1,100        ,U,"99,208",$4.04M,A model discovers a retired judge is keen on invading people's privacy.,Krzysztof Kieslowski,"['Irène Jacob', 'Jean-Louis Trintignant', 'Frédérique Feder', 'Jean-Pierre Lorit']"
277,Chung Hing sam lam,(1994),102 min,8.1,78        ,U,"73,283",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",Kar-Wai Wong,"['Brigitte Lin', 'Takeshi Kaneshiro', 'Tony Chiu-Wai Leung', 'Faye Wong']"
278,Andaz Apna Apna,(1994),160 min,8.1,****,U,"51,992",%^%^%^,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Rajkumar Santoshi,"['Aamir Khan', 'Salman Khan', 'Raveena Tandon', 'Karisma Kapoor']"
279,Jurassic Park,(1993),127 min,8.1,68        ,UA,"918,268",$402.45M,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']"
280,In the Name of the Father,(1993),133 min,8.1,84        ,UA,"167,363",$25.01M,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']"
281,Ba wang bie ji,(1993),171 min,8.1,83        ,R,"27,068",$5.22M,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,Kaige Chen,"['Leslie Cheung', 'Fengyi Zhang', 'Gong Li', 'You Ge']"
282,Dà hóng denglong gaogao guà,(1991),125 min,8.1,****,****,"31,466",$2.60M,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",Yimou Zhang,"['Gong Li', 'Jingwu Ma', 'Saifei He', 'Cuifen Cao']"
283,Dead Poets Society,(1989),128 min,8.1,79        ,U,"454,691",$95.86M,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']"
284,The Princess Bride,(1987),98 min,8.1,77        ,U,"412,213",$30.86M,"While homesick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon']"
285,Stand by Me,(1986),89 min,8.1,75        ,UA,"383,046",$52.29M,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Rob Reiner,"['Wil Wheaton', 'River Phoenix', 'Corey Feldman', ""Jerry O'Connell""]"
286,Platoon,(1986),120 min,8.1,92        ,UA,"398,006",$138.53M,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",Oliver Stone,"['Charlie Sheen', 'Tom Berenger', 'Willem Dafoe', 'Keith David']"
287,"Paris, Texas",(1984),145 min,8.1,78        ,U,"100,576",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",Wim Wenders,"['Harry Dean Stanton', 'Nastassja Kinski', 'Dean Stockwell', 'Sam Berry']"
288,Kaze no tani no Naushika,(1984),117 min,8.1,86        ,U,"161,721",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,Hayao Miyazaki,"['Sumi Shimamoto', 'Mahito Tsujimura', 'Hisako Kyôda', 'Gorô Naya']"
289,Nostalgia,(1983),125 min,8.1,****,****,"25,727",$0.01M,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",Andrei Tarkovsky,"['Oleg Yankovskiy', 'Erland Josephson', 'Domiziana Giordano', 'Patrizia Terreno']"
290,The Thing,(1982),109 min,8.1,57        ,A,"397,819",$13.78M,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']"
291,Fitzcarraldo,(1982),158 min,8.1,****,****,"33,681",%^%^%^,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",Werner Herzog,"['Klaus Kinski', 'Claudia Cardinale', 'José Lewgoy', 'Miguel Ángel Fuentes']"
